name,owner,stargazerCount,created_at,current_date,time_since_created_at_in_seconds,releases_count,url
XChange,knowm,3851,2012-02-02T10:48:28Z,2024-09-21 22:01:17.105717+00:00,398776369.105717,0,https://github.com/knowm/XChange
BackgroundLibrary,JavaNoober,3839,2018-09-09T08:52:45Z,2024-09-21 22:01:17.105717+00:00,190472912.105717,13,https://github.com/JavaNoober/BackgroundLibrary
ahbottomnavigation,aurelhubert,3835,2016-03-17T12:17:56Z,2024-09-21 22:01:17.105717+00:00,268739001.105717,14,https://github.com/aurelhubert/ahbottomnavigation
jetty.project,jetty,3832,2011-07-14T01:11:57Z,2024-09-21 22:01:17.105717+00:00,416350160.105717,104,https://github.com/jetty/jetty.project
MaterialSearchView,MiguelCatalan,3829,2015-09-14T17:13:46Z,2024-09-21 22:01:17.105717+00:00,284705251.105717,6,https://github.com/MiguelCatalan/MaterialSearchView
xboot,Exrick,3827,2018-04-23T14:44:18Z,2024-09-21 22:01:17.105717+00:00,202461419.105717,6,https://github.com/Exrick/xboot
Launcher3,amirzaidi,3825,2017-05-30T12:53:32Z,2024-09-21 22:01:17.105717+00:00,230807265.105717,22,https://github.com/amirzaidi/Launcher3
sofa-rpc,sofastack,3814,2018-04-09T03:32:04Z,2024-09-21 22:01:17.105717+00:00,203711353.105717,59,https://github.com/sofastack/sofa-rpc
CircleProgress,uknownothingsnow,3811,2014-10-30T16:14:42Z,2024-09-21 22:01:17.105717+00:00,312270395.105717,0,https://github.com/uknownothingsnow/CircleProgress
awaitility,awaitility,3805,2010-01-22T15:12:52Z,2024-09-21 22:01:17.105717+00:00,462782905.105717,0,https://github.com/awaitility/awaitility
geoserver,geoserver,3798,2011-11-10T19:56:06Z,2024-09-21 22:01:17.105717+00:00,406001111.105717,49,https://github.com/geoserver/geoserver
jmonkeyengine,jMonkeyEngine,3784,2014-03-20T22:29:28Z,2024-09-21 22:01:17.105717+00:00,331601509.105717,64,https://github.com/jMonkeyEngine/jmonkeyengine
Leetcode,fishercoder1534,3779,2016-07-31T05:28:15Z,2024-09-21 22:01:17.105717+00:00,257013182.105717,0,https://github.com/fishercoder1534/Leetcode
TinyPinyin,promeG,3778,2015-09-30T03:24:50Z,2024-09-21 22:01:17.105717+00:00,283372587.105717,2,https://github.com/promeG/TinyPinyin
MarqueeView,sunfusheng,3774,2016-06-01T06:50:46Z,2024-09-21 22:01:17.105717+00:00,262192231.105717,0,https://github.com/sunfusheng/MarqueeView
SuperTextView,lygttpod,3773,2016-10-19T04:06:54Z,2024-09-21 22:01:17.105717+00:00,250106063.105717,39,https://github.com/lygttpod/SuperTextView
roboguice,roboguice,3771,2012-08-12T20:37:19Z,2024-09-21 22:01:17.105717+00:00,382152238.105717,0,https://github.com/roboguice/roboguice
screw,pingfangushi,3767,2020-06-21T11:37:06Z,2024-09-21 22:01:17.105717+00:00,134216651.105717,0,https://github.com/pingfangushi/screw
unidbg,zhkl0228,3767,2019-02-26T09:32:15Z,2024-09-21 22:01:17.105717+00:00,175782542.105717,15,https://github.com/zhkl0228/unidbg
DSBridge-Android,wendux,3766,2017-01-02T11:58:53Z,2024-09-21 22:01:17.105717+00:00,243597744.105717,2,https://github.com/wendux/DSBridge-Android
IDDD_Samples,VaughnVernon,3762,2013-04-08T22:12:57Z,2024-09-21 22:01:17.105717+00:00,361496900.105717,0,https://github.com/VaughnVernon/IDDD_Samples
andOTP,andOTP,3755,2017-07-05T11:39:52Z,2024-09-21 22:01:17.105717+00:00,227701285.105717,38,https://github.com/andOTP/andOTP
mpush,mpusher,3753,2016-04-28T01:43:19Z,2024-09-21 22:01:17.105717+00:00,265148278.105717,9,https://github.com/mpusher/mpush
MallChat,zongzibinbin,3751,2023-03-16T15:04:35Z,2024-09-21 22:01:17.105717+00:00,47977002.105717,0,https://github.com/zongzibinbin/MallChat
oblivion,bepass-org,3745,2024-02-08T05:50:09Z,2024-09-21 22:01:17.105717+00:00,19584668.105717,11,https://github.com/bepass-org/oblivion
sticky-headers-recyclerview,timehop,3742,2014-10-03T01:57:46Z,2024-09-21 22:01:17.105717+00:00,314654611.105717,0,https://github.com/timehop/sticky-headers-recyclerview
dynamic-tp,dromara,3741,2022-01-07T16:35:27Z,2024-09-21 22:01:17.105717+00:00,85382750.105717,14,https://github.com/dromara/dynamic-tp
CustomActivityOnCrash,Ereza,3737,2014-07-04T19:46:21Z,2024-09-21 22:01:17.105717+00:00,322452896.105717,12,https://github.com/Ereza/CustomActivityOnCrash
blurkit-android,CameraKit,3722,2016-11-06T03:14:58Z,2024-09-21 22:01:17.105717+00:00,248553979.105717,3,https://github.com/CameraKit/blurkit-android
spruce-android,willowtreeapps,3718,2017-02-23T20:34:18Z,2024-09-21 22:01:17.105717+00:00,239074019.105717,3,https://github.com/willowtreeapps/spruce-android
java-tron,tronprotocol,3714,2017-12-26T10:20:38Z,2024-09-21 22:01:17.105717+00:00,212672439.105717,77,https://github.com/tronprotocol/java-tron
SwipeDelMenuLayout,mcxtzhang,3713,2016-08-25T08:10:45Z,2024-09-21 22:01:17.105717+00:00,254843432.105717,2,https://github.com/mcxtzhang/SwipeDelMenuLayout
leetcode-editor,shuzijun,3713,2019-03-19T16:32:17Z,2024-09-21 22:01:17.105717+00:00,173942940.105717,55,https://github.com/shuzijun/leetcode-editor
novel-plus,201206030,3711,2020-05-02T07:15:43Z,2024-09-21 22:01:17.105717+00:00,138552334.105717,23,https://github.com/201206030/novel-plus
AndServer,yanzhenjie,3709,2016-06-14T00:52:52Z,2024-09-21 22:01:17.105717+00:00,261090505.105717,1,https://github.com/yanzhenjie/AndServer
NoHttp,yanzhenjie,3707,2015-07-29T06:11:12Z,2024-09-21 22:01:17.105717+00:00,288805805.105717,0,https://github.com/yanzhenjie/NoHttp
markor,gsantner,3704,2017-08-26T00:08:35Z,2024-09-21 22:01:17.105717+00:00,223249962.105717,72,https://github.com/gsantner/markor
ripme,RipMeApp,3703,2017-01-06T17:12:09Z,2024-09-21 22:01:17.105717+00:00,243233348.105717,126,https://github.com/RipMeApp/ripme
StylishMusicPlayer,ryanhoo,3701,2016-09-13T14:38:32Z,2024-09-21 22:01:17.105717+00:00,253178565.105717,0,https://github.com/ryanhoo/StylishMusicPlayer
automq,AutoMQ,3701,2023-08-17T07:50:13Z,2024-09-21 22:01:17.105717+00:00,34697464.105717,39,https://github.com/AutoMQ/automq
fastjson2,alibaba,3690,2022-04-17T04:27:24Z,2024-09-21 22:01:17.105717+00:00,76786433.105717,54,https://github.com/alibaba/fastjson2
atmosphere,Atmosphere,3685,2010-06-30T14:26:23Z,2024-09-21 22:01:17.105717+00:00,449048094.105717,0,https://github.com/Atmosphere/atmosphere
ASimpleCache,yangfuhai,3683,2013-07-28T13:50:59Z,2024-09-21 22:01:17.105717+00:00,351936618.105717,0,https://github.com/yangfuhai/ASimpleCache
bitcoin-wallet,bitcoin-wallet,3680,2012-03-31T17:06:47Z,2024-09-21 22:01:17.105717+00:00,393742470.105717,18,https://github.com/bitcoin-wallet/bitcoin-wallet
ChatKit,stfalcon-studio,3680,2017-02-02T09:37:15Z,2024-09-21 22:01:17.105717+00:00,240927842.105717,1,https://github.com/stfalcon-studio/ChatKit
rejoiner,google,3671,2017-12-06T19:09:53Z,2024-09-21 22:01:17.105717+00:00,214368684.105717,3,https://github.com/google/rejoiner
Skeleton,ethanhua,3669,2017-07-30T06:42:39Z,2024-09-21 22:01:17.105717+00:00,225559118.105717,0,https://github.com/ethanhua/Skeleton
Terasology,MovingBlocks,3665,2011-03-04T03:49:19Z,2024-09-21 22:01:17.105717+00:00,427745518.105717,70,https://github.com/MovingBlocks/Terasology
groupie,lisawray,3664,2016-09-01T20:59:35Z,2024-09-21 22:01:17.105717+00:00,254192502.105717,28,https://github.com/lisawray/groupie
Play-with-Algorithms,liuyubobobo,3661,2016-07-05T18:16:22Z,2024-09-21 22:01:17.105717+00:00,259213495.105717,0,https://github.com/liuyubobobo/Play-with-Algorithms
ByteLegend,ByteLegend,3652,2021-02-01T10:11:30Z,2024-09-21 22:01:17.105717+00:00,114781787.105717,0,https://github.com/ByteLegend/ByteLegend
android-common,litesuits,3650,2014-05-29T08:08:00Z,2024-09-21 22:01:17.105717+00:00,325605197.105717,0,https://github.com/litesuits/android-common
incubator-heron,apache,3647,2015-09-25T16:09:24Z,2024-09-21 22:01:17.105717+00:00,283758713.105717,56,https://github.com/apache/incubator-heron
Linkage-RecyclerView,KunMinX,3639,2019-04-22T04:39:46Z,2024-09-21 22:01:17.105717+00:00,171048091.105717,0,https://github.com/KunMinX/Linkage-RecyclerView
